district_name,apartments,gross_rent_below_300_euros,gross_rent_between_300_and_400_euros,gross_rent_between_400_and_500_euros,gross_rent_between_500_and_600_euros,gross_rent_above_600_euros,gross_rent_average
Mitte,149.697331,12.343339,34.7063290000001,40.188314,25.0112490000001,37.4481000000001,515.246988044162
Friedrichshain-Kreuzberg,118.739345,10.13746,26.1586269999999,29.0208299999999,21.334945,32.0874829999998,510.89851459093
Pankow,163.173708,14.19336,49.2647219999998,50.1813989999998,22.110687,27.42354,469.634036005359
Charlottenburg-Wilmersdorf,131.309814,11.740434,30.3277050000001,26.8202250000001,24.0935010000001,38.3279490000001,554.52547389946
Spandau,81.9284359999999,8.44312400000001,25.5014959999999,24.5115159999999,11.04329,12.42901,447.643024358478
Steglitz-Zehlendorf,95.215548,6.497236,14.134836,23.27303,20.808606,30.5018400000001,568.616524603734
Tempelhof-Schöneberg,128.591589,7.930442,26.9227859999999,32.446436,23.60366,37.6882650000001,544.007195260648
Neukölln,122.177717,10.538876,28.9193469999999,38.7651660000001,24.9492259999999,19.005102,471.100473844998
Treptow-Köpenick,97.4902870000002,7.91033900000001,31.2174690000001,34.3886130000001,13.748194,10.225672,440.854893780341
Marzahn-Hellersdorf,98.6752400000002,13.524692,27.2726080000001,34.8355560000001,15.908658,7.13372599999999,425.435669454668
Lichtenberg,128.609296,13.963226,31.164853,46.937742,21.7708,14.772675,451.894061149359
Reinickendorf,88.4385280000001,5.66186,20.605477,24.267724,17.667709,20.235758,502.9436596231
