type,total,collective_heating,district_heating,gas,electricity,heating_oil,briquettes_lignite_coal_coke_hard_coal,wood_or_other_renewable_energies
Insgesamt,1751.1190629998,1725.6141819998,755.341045,651.917786000003,21.844861,278.61889,/,16.029916
bis 1918,413.27804600001,405.036338000009,95.4849849999998,246.894000000001,/,52.8393399999999,/,/
1919 – 1948,285.102711000003,280.152592000003,86.4495989999993,146.765931,/,41.8687759999999,/,/
1949 – 1978,627.743126000004,618.122950000005,307.153653,147.525176,10.546636,147.767292,/,/
1979 – 1990,224.629513000003,223.648260000003,165.692081000002,34.841859,/,21.146462,–,/
1991 – 2000,120.284988999999,119.746946999999,57.2404629999998,46.661356,/,13.499314,–,/
2001 und später,79.4197699999998,78.3535979999997,43.0920199999998,29.0105299999999,/,/,–,/
unter  40,139.270882,136.515737,77.9080919999999,34.843116,/,21.786016,–,/
40 –   60,457.844608000001,451.158236000001,226.588264000003,152.019956000001,7.702185,62.325566,/,/
60 –   80,547.097501999998,539.552746999998,268.114175000002,173.847691,7.667815,86.1481850000001,/,/
80 – 100,297.498612000002,293.732844000002,119.641809,120.646148,/,46.764692,/,/
100 – 120,141.689177,139.533033,35.4680849999999,75.2002889999997,/,26.02452,/,/
120 und mehr,167.718282000001,165.121585000001,27.62062,95.3605859999996,/,35.5699109999999,–,5.921208
Zusammen,304.96469800001,298.155701000009,54.6543619999999,159.960898000001,/,75.4131699999998,/,6.943263
bis 1918,52.139819,51.708657,12.421321,30.92433,/,7.049233,–,/
1919 – 1948,61.2096779999998,58.4102809999998,5.440249,37.3656419999999,/,14.755724,–,/
1949 – 1978,88.4872829999999,86.5075569999999,13.442256,30.8313679999999,/,40.8607219999999,/,/
1979 – 1990,31.3524969999999,31.1387669999999,6.859737,15.058335,/,8.68103,–,/
1991 – 2000,33.362096,33.043286,/,24.730454,/,/,–,/
2001 und später,38.3059139999999,37.3471529999999,12.335306,21.050769,/,/,–,/
unter  40,/,/,/,/,–,/,–,–
40 –   60,17.836722,16.644074,5.19097,6.75104,–,/,–,–
60 –   80,50.87354,49.01,16.646541,18.16153,/,13.342034,/,/
80 – 100,65.6156149999998,64.9711489999998,11.579443,35.729503,/,16.092681,–,/
100 – 120,55.1996239999999,54.0283719999999,6.466677,33.1868809999999,/,13.940243,–,/
120 und mehr,111.851914999999,110.021142999999,14.010811,64.8208129999997,/,25.926236,–,/
Zusammen,1446.15436499989,1427.4584809999,700.686682999997,491.956888000006,20.770497,203.205719999997,/,9.08665300000001
bis 1918,361.138227000007,353.327681000006,83.0636639999997,215.969670000001,/,45.7901069999999,/,/
1919 – 1948,223.893033,221.742311,81.0093499999996,109.400289,/,27.1130519999999,/,/
1949 – 1978,539.255843000002,531.615393000001,293.711397000001,116.693808,10.326971,106.90657,/,/
1979 – 1990,193.277016000002,192.509493000002,158.832344000002,19.783524,/,12.465432,–,–
1991 – 2000,86.9228929999998,86.7036609999998,53.0849699999998,21.930902,/,10.183442,–,/
2001 und später,41.1138559999998,41.0064449999998,30.756714,7.95976100000001,–,/,–,/
unter  40,135.6836,133.034774,77.1481719999999,33.531985,/,20.376104,–,/
40 –   60,440.007886,434.514162000001,221.397294000003,145.268916000001,7.702185,57.6235019999999,/,/
60 –   80,496.223961999995,490.542746999995,251.467634000003,155.686161,7.450383,72.806151,/,/
80 – 100,231.882997,228.761695,108.062366,84.916645,/,30.672011,/,/
100 – 120,86.4895529999999,85.5046609999999,29.001408,42.0134079999999,/,12.084277,/,/
120 und mehr,55.8663669999999,55.1004419999999,13.609809,30.539773,/,9.643675,–,/
