feature,apartments,constructed_before_1918,constructed_between_1919_and_1948,constructed_between_1949_and_1978,constructed_between_1979_and_1990,constructed_between_1990_and_2000,constructed_after_2021
Insgesamt,1751.11906299981,413.278046000008,285.102711000003,627.743125999999,224.629513000004,120.284988999999,79.4197699999997
Zugang zur Wohnung schwellenlos,285.034701000003,16.157254,14.937854,100.899369,58.8598959999996,48.7051899999999,45.3677269999998
ausreichende Breite der Haustür,1223.79826899994,289.651546000002,177.502141000001,429.316836000005,162.078417000001,96.2536039999993,68.7767909999997
ausreichende Breite der Flure,1092.73636099997,238.831859999999,159.517578,395.962856000002,151.081542000001,87.5881959999995,59.5353949999997
keines der aufgeführten Merkmale,397.108295000005,95.5904549999995,82.6829449999995,143.947622,47.6554349999998,18.002358,9.114982
alle aufgeführten Merkmale,232.988031000003,10.030092,9.93642000000001,77.0800770000001,52.4463549999996,42.2475299999999,41.2475569999998
keine Schwellen / Bodenunebenheiten,258.847962000001,27.870546,23.726284,104.196574,34.768309,30.639676,37.5391619999999
alle Räume stufenlos erreichbar,614.202211000003,94.3293950000001,66.5750129999999,251.475319999997,92.5883500000002,62.0131939999998,47.2209389999998
ausreichende Breite der Wohnungstür,1162.68859599996,280.888110000002,171.992508000001,400.286055000002,151.362315000001,92.4590379999994,65.5931589999997
ausreichende Breite der Raumtüren,949.925499999993,209.892624,140.962862,332.04249,135.432784,82.1841829999996,49.3031459999998
ausreichende Breite der Flure,978.325713999981,211.888652999999,144.044544999999,348.213699000001,139.977331000001,82.1857829999996,51.9082919999998
genügend Raum entlang der Küchenzeile,928.801037999981,206.643628999999,142.302433,303.033412,130.760325,84.6937769999996,61.2600509999997
genügend Raum im Bad / Sanitärbereich,681.238644999998,131.687142999999,102.366153999999,215.052658999999,111.175392,70.3551799999996,50.4947059999998
Einstieg zur Dusche ebenerdig,86.7033969999997,14.848476,11.506585,22.370998,8.349244,5.886448,23.741646
keines der aufgeführten Merkmale,474.967562000005,115.157424,93.7625789999994,177.182158,59.3340649999996,19.551505,9.75381000000001
alle aufgeführten Merkmale,21.741812,/,/,6.417858,/,/,7.257874
Zusammen,304.964698000009,52.1398190000001,61.2096779999998,88.4872829999999,31.352497,33.3620959999999,38.3059139999999
Zugang zur Wohnung schwellenlos,42.5095659999999,/,5.258345,6.526569,/,7.086108,16.58885
ausreichende Breite der Haustür,203.569005000002,38.143475,37.31352,51.858925,21.029073,24.364236,30.8597759999999
ausreichende Breite der Flure,178.667358000001,32.501479,33.3496009999999,48.153401,18.742913,20.144006,25.775958
keines der aufgeführten Merkmale,89.2086149999997,12.59758,21.407225,31.987635,9.57772000000001,7.499147,6.139308
alle aufgeführten Merkmale,34.3838989999999,/,/,5.228338,/,5.890478,13.868063
keine Schwellen / Bodenunebenheiten,42.7711479999999,/,5.90992,10.993814,/,5.099308,13.02673
alle Räume stufenlos erreichbar,73.186064,11.670982,8.830162,21.681724,6.606453,7.170306,17.226437
ausreichende Breite der Wohnungstür,196.390933000002,36.184621,36.584556,51.383333,19.82038,22.720505,29.6975379999999
ausreichende Breite der Raumtüren,162.822600000001,29.402986,31.332287,42.185889,16.774161,19.04871,24.078567
ausreichende Breite der Flure,174.482904000001,31.023944,32.4725319999999,46.617882,18.841298,19.717606,25.809642
genügend Raum entlang der Küchenzeile,182.185555000002,32.468303,34.3016899999999,44.408513,18.838221,22.387011,29.7818169999999
genügend Raum im Bad / Sanitärbereich,142.887105,24.225727,28.067309,32.266866,15.734188,18.619148,23.973867
Einstieg zur Dusche ebenerdig,39.5107049999999,6.043415,6.454995,6.92124,/,/,12.68737
keines der aufgeführten Merkmale,86.5728469999997,12.82219,20.650911,29.638725,10.129939,7.510828,5.820254
alle aufgeführten Merkmale,7.007194,/,/,/,/,/,/
Zusammen,1446.1543649999,361.138227000005,223.893033000001,539.255843000002,193.277016000002,86.9228929999996,41.1138559999999
Zugang zur Wohnung schwellenlos,242.525135000003,13.568412,9.679509,94.3728000000001,54.5064549999996,41.6190819999999,28.778877
ausreichende Breite der Haustür,1020.22926399999,251.508071,140.188620999999,377.457911,141.049344000001,71.8893679999997,37.9170149999999
ausreichende Breite der Flure,914.069002999997,206.330381,126.167976999999,347.809454999999,132.338629,67.4441899999998,33.7594369999999
keines der aufgeführten Merkmale,307.899680000003,82.9928749999995,61.2757199999999,111.959987,38.0777149999999,10.503211,/
alle aufgeführten Merkmale,198.604132000002,8.293295,6.083665,71.8517390000001,48.6388869999997,36.3570519999999,27.379494
keine Schwellen / Bodenunebenheiten,216.076814,23.978261,17.816364,93.2027600000001,31.026629,25.540368,24.512432
alle Räume stufenlos erreichbar,541.016146999999,82.6584130000003,57.7448509999999,229.793595999998,85.9818970000002,54.8428879999998,29.994502
ausreichende Breite der Wohnungstür,966.297663,244.703489,135.407951999999,348.902721999999,131.541935,69.7385329999997,35.8956209999999
ausreichende Breite der Raumtüren,787.102900000004,180.489638,109.630574999999,289.856600999999,118.658623,63.1354729999998,25.224579
ausreichende Breite der Flure,803.842809999997,180.864709,111.572012999999,301.595816999999,121.136033,62.4681769999998,26.09865
genügend Raum entlang der Küchenzeile,746.615482999998,174.175326,108.000743,258.624898999998,111.922104,62.3067659999998,31.478234
genügend Raum im Bad / Sanitärbereich,538.351539999995,107.461416,74.2988449999997,182.785792999999,95.441204,51.7360319999998,26.520839
Einstieg zur Dusche ebenerdig,47.1926919999999,8.805061,5.05159,15.449758,5.020989,/,11.054276
keines der aufgeführten Merkmale,388.394715000001,102.335234,73.1116679999996,147.543432999999,49.2041259999997,12.040677,/
alle aufgeführten Merkmale,14.734618,/,/,5.766982,/,/,/
