family_structure,apartments,with_1_room,with_2_rooms,with_3_rooms,with_4_rooms_or_more,total_rooms,rooms_per_apartment,rooms_per_person
Familien,422.598979999999,/,61.006523,179.010465,179.275414,1482.363567,3.5077310574673,1.03316825376834
mit Kind(ern) unter 18 Jahren,328.927538,/,46.663988,140.196101,139.117472,1153.48193,3.50679647260182,0.987530939385969
1 Kind,183.981243,/,34.652455,87.729879,59.278945,598.851889,3.25496164301923,1.10808642414025
2 und mehr Kinder,144.946295,/,12.011533,52.466222,79.8385269999999,554.630041,3.82645200417161,0.883719799509847
Kinder unter 18 Jahren,522.241126999999,/,62.0544999999999,209.818725000001,246.787911999999,1900.730608,3.63956515435446,0.911099286328589
Ehepaare,226.587788,/,20.314219,82.9538320000001,121.993915,860.721622999999,3.79862317646175,0.991251477091131
mit Kind(ern) unter 18 Jahren,179.789757,/,17.946493,66.213945,94.5627649999999,680.187627999999,3.78323904181037,0.955690159698913
1 Kind,86.3412700000001,/,10.965364,37.045863,37.591625,306.067774,3.54486069060601,1.06464003024633
2 und mehr Kinder,93.4484869999999,/,6.981129,29.168082,56.97114,374.119854,4.00348754710175,0.881860531463219
Kinder unter 18 Jahren,307.694279999998,/,26.983279,108.815283,170.501028,1194.61607399999,3.88247735382016,0.884618067034422
Lebensgemeinschaften,71.943418,/,6.533444,36.07198,28.917616,247.039839,3.43380737067566,0.973776471081515
mit Kind(ern) unter 18 Jahren,66.345098,/,6.431784,33.393185,26.099751,225.940447,3.40553339750888,0.958289308267649
1 Kind,42.10986,/,/,24.163155,12.746593,135.741188,3.22350128924675,1.04807186538242
2 und mehr Kinder,24.235238,–,/,9.23003,13.353158,90.1992589999999,3.72182270295839,0.848857321844629
Kinder unter 18 Jahren,96.3524000000001,/,8.338118,43.857876,43.736028,339.538265,3.52392119967951,0.902317577361922
Alleinerziehende,124.067774,/,34.15886,59.984653,28.363883,374.602104999999,3.0193344566656,1.19771520514441
mit Kind(ern) unter 18 Jahren,82.792683,/,22.285711,40.588971,18.454956,247.353855,2.98762941406307,1.12154413022604
1 Kind,55.530113,/,18.907357,26.520861,8.940727,157.042927,2.82806784491867,1.27224148812668
2 und mehr Kindern,27.26257,/,/,14.06811,9.51422900000001,90.310928,3.31263442881577,0.929989664050118
Kinder unter 18 Jahren,118.194447,/,26.733103,57.1455659999999,32.550856,366.576269,3.10146777876968,1.01977553726928
unter 900,/,/,/,/,–,/,/,/
900  –  1 500,28.496981,/,13.685263,10.184817,/,73.404368,2.57586472054706,1.02697787281188
1 500  –  2 000,60.507653,/,19.898821,29.172748,9.85394500000001,170.516111,2.81809163875518,0.933476189688396
2 000  –  3 200,122.113271,/,17.52657,68.098427,36.126688,392.170763,3.21153270065135,0.94975447512954
3 200  –  4 500,99.579927,/,6.902239,44.772467,47.789602,357.099633,3.58606040151044,0.999187693986118
4 500  –  6 000,60.735707,–,/,19.90561,38.793958,244.173317,4.02025972958543,1.11408635955091
6 000 und mehr,50.20046,–,/,6.531842,43.020789,242.401976,4.82868037464199,1.2869034117846
Erwerbspersonen,376.636136,/,49.774035,157.904367,165.95089,1338.197499,3.55302471295532,1.04944629480389
Erwerbstätige,358.468244,/,44.111668,149.865525,161.819637,1285.384454,3.58576938268484,1.06205492077181
Selbstständige,58.749692,/,6.167633,18.920099,33.136717,229.357899,3.90398470514535,1.13003950700816
Beamte,21.609176,–,/,6.022076,14.833446,92.91354,4.29972619039245,1.26436267948238
Angestellte,249.951587,/,30.907872,111.566604,105.435168,875.259684000001,3.50171685047153,1.04595928547458
Arbeiter,25.792328,/,5.125197,12.662762,7.900141,81.400095,3.15598091804664,0.905219120376254
Erwerbslose,18.167892,/,5.662367,8.038842,/,52.813045,2.90694401970245,0.814191205102164
Nichterwerbspersonen,45.962844,/,11.232488,21.106098,13.324524,144.166068,3.13657849370678,0.903135700381856
darunter Rentner,13.14785,–,/,5.953793,5.058969,45.354268,3.44955776039428,1.29635547449706
unter 25,7.040319,–,/,/,/,19.717757,2.8006908493777,0.879353826183972
25 – 30,21.729263,/,5.099059,11.842211,/,65.081299,2.99509923553321,0.896092826865021
30 – 40,133.437164,/,23.82621,65.079228,43.264395,431.634983,3.23474338078708,0.918902331030081
40 – 50,144.674686,/,17.661916,58.104153,68.01156,523.894356,3.62118882359281,1.03676051416158
50 – 60,90.48917,/,7.578356,31.63508,50.533349,350.90761,3.87789621675168,1.20489681697235
60 – 65,11.647778,–,/,/,6.014398,41.760541,3.58527961298713,1.14568109337383
65 und mehr,13.5806,–,/,5.689699,5.988633,49.367021,3.63511339705168,1.33455862236908
