type,apartments,inhabited_by_owner,inhabited_by_owner_percentage,rented_out,rented_out_percentage
Mitte,186.759635000004,10.241435,5.48375188246635,158.870364000003,85.0667565290538
bis 1948,87.2734080000003,5.4484,6.24290963863813,70.7152519999997,81.0272609040309
1949 und später,99.4862270000008,/,/,88.1551120000004,88.6103681467382
Friedrichshain-Kreuzberg,147.806407999998,12.709278,8.59859743022791,120.555883999998,81.5633676721243
bis 1948,89.0689339999989,8.81634600000001,9.89834008791451,69.1462819999993,77.6323223987391
1949 und später,58.6229759999995,/,/,51.2951039999997,87.5000000000002
Pankow,211.448965000009,33.5946239999999,15.8878167126514,166.155975000004,78.5797059824798
bis 1948,118.533420999999,12.547658,10.5857553879256,97.5854699999993,82.3273884923983
1949 und später,92.7018139999994,21.046966,22.7039419099179,68.4641859999995,73.8542031119261
Charlottenburg-Wilmersdorf,177.091362999995,27.0260829999999,15.26109604792,134.299788999997,75.8364421194277
bis 1948,97.3408569999988,13.829944,14.2077483455895,73.0028349999999,74.9971155483055
1949 und später,79.7505059999996,13.196139,16.5467777721687,61.2969540000003,76.8608966568822
Spandau,115.367401999998,19.569778,16.9630048529656,88.8233849999991,76.9917528349999
bis 1948,32.8233210000001,5.01148,15.2680467646768,25.680747,78.2393317239288
1949 und später,82.5440809999994,14.558298,17.6369981028684,63.1426380000003,76.4956581199333
Steglitz-Zehlendorf,154.961626999998,42.8968529999999,27.682242262467,101.032033999998,65.1980983653455
bis 1948,56.5097319999996,16.239075,28.7367758176594,35.375744,62.601153373016
1949 und später,98.3444839999985,26.657778,27.1065309570392,65.6562899999992,66.7615379424841
Tempelhof-Schöneberg,176.701575999998,33.0009989999999,18.6761203533353,133.390736000002,75.4892735082359
bis 1948,83.9804550000013,12.847913,15.298694202121,65.8671940000009,78.431575537427
1949 und später,92.6137100000015,20.153086,21.7603700359263,67.523542000001,72.9087971964409
Neukölln,161.616964000001,23.69738,14.662681078454,125.243893000003,77.4942740540542
bis 1948,68.5679589999998,7.809385,11.3892627312999,53.0365159999997,77.3488328564656
1949 und später,92.505615000001,15.7805840000001,17.0590552800496,72.0936310000001,77.9343297160927
Treptow-Köpenick,136.071226,24.320077,17.8730490750484,103.091034999999,75.7625532087138
bis 1948,54.7322019999998,9.053355,16.5411853884484,41.6648209999999,76.124876174359
1949 und später,81.3390239999995,15.266722,18.7692466041886,61.4262139999997,75.5187497700981
Marzahn-Hellersdorf,131.951022000002,28.8766779999999,21.8843913160442,99.3305280000009,75.2783316827963
bis 1948,10.602882,9.22365400000001,86.9919518108378,/,/
1949 und später,120.914384000002,19.653024,16.2536692077923,98.2659980000009,81.2690721725876
Lichtenberg,149.822085999998,13.987138,9.33583183456693,130.934326999996,87.3932078345233
bis 1948,33.202862,/,/,28.051192,84.484259218377
1949 und später,116.619223999997,10.28075,8.81565632781117,102.883134999998,88.2214196520467
Reinickendorf,127.418536000002,35.044375,27.503357125371,84.4264150000012,66.2591312460222
bis 1948,34.2986489999999,8.81589900000001,25.703341842998,23.9521999999999,69.8342374943106
1949 und später,92.7954210000011,26.228476,28.2648386281901,60.3668040000006,65.0536452655351
Land Berlin,1877.01680999978,304.964698000009,16.2473077691853,1446.1543649999,77.045360344965
bis 1948,766.934681999992,113.349496999999,14.7795502876998,585.031260000002,76.2817582423542
1949 und später,1108.23746599996,191.507790000003,17.2803930452943,860.569607999997,77.6520948264015
