type,total,living_area,living_area_per_apartment,persons_per_apartment,living_area_per_person
Mitte,169.111799000004,1139.42800660002,67.3772033257124,1.87177339412018,35.9964531696865
Eigentümerwohnungen,10.241435,97.6599198000002,95.3576523211835,2.0106399152072,47.4265190897481
Mietwohnungen,158.870364000003,1041.76808680002,65.5734688692473,1.86282148884609,35.2011554847729
Friedrichshain-Kreuzberg,133.265161999998,945.016761399985,70.9125136095207,1.87463942001586,37.8272817974353
Eigentümerwohnungen,12.709278,124.1387316,97.6756756756757,2.2972972972973,42.5176470588235
Mietwohnungen,120.555883999998,820.878029799988,68.0910796357314,1.83008185647745,37.2065759762208
Pankow,199.750599000008,1521.39218060006,76.1645866503761,1.927572883023,39.5132071638857
Eigentümerwohnungen,33.5946239999999,387.309770699999,115.289211363104,2.48984129127327,46.3038394323304
Mietwohnungen,166.155975000004,1134.08240990002,68.254085349624,1.81388936509806,37.6285823506848
Charlottenburg-Wilmersdorf,161.325871999996,1250.60706179997,77.5205518058504,1.75844949407743,44.0846052541997
Eigentümerwohnungen,27.0260829999999,288.405650199998,106.713817980948,1.89251550067392,56.3872887397474
Mietwohnungen,134.299788999997,962.20141159998,71.6457872915943,1.73147045674063,41.3785791219693
Spandau,108.393162999998,807.871792499987,74.5316189822785,1.97888590999047,37.663423952843
Eigentümerwohnungen,19.569778,211.9074437,108.283008473576,2.21032297862551,48.9896768575023
Mietwohnungen,88.8233849999991,595.964348799995,67.0954331227074,1.92789514833284,34.8024285349381
Steglitz-Zehlendorf,143.928886999998,1247.69865589998,86.6885502908114,1.91316736160129,45.3115352220177
Eigentümerwohnungen,42.8968529999999,510.724732899998,119.058788042097,2.18249229145084,54.5517564980498
Mietwohnungen,101.032033999998,736.973922999986,72.9445794390321,1.79881559149844,40.5514494002514
Tempelhof-Schöneberg,166.391735,1281.4875727,77.0162996797887,1.90209527534526,40.4902428800835
Eigentümerwohnungen,33.0009989999999,327.169598299999,99.1393012981213,2.03014532984289,48.8335981866842
Mietwohnungen,133.390736000002,954.317974400016,71.5430473672474,1.87041556619044,38.2498139239518
Neukölln,148.941273000002,1077.16684290001,72.3215816008233,2.02587883077916,35.6988683143543
Eigentümerwohnungen,23.69738,241.6592897,101.977218451998,2.16979012025802,46.9986555381085
Mietwohnungen,125.243893000003,835.507553200019,66.7104425762302,1.9986493952244,33.3777613700676
Treptow-Köpenick,127.411111999999,956.389500499994,75.0632723855358,1.89453138121893,39.6210235046307
Eigentümerwohnungen,24.320077,269.9441118,110.996405068948,2.39538781065537,46.3375510951521
Mietwohnungen,103.091034999999,686.445388699995,66.5863320413846,1.77637496800765,37.4843899743007
Marzahn-Hellersdorf,128.207206000002,955.037596300013,74.4917252389074,2.01176226397134,37.0280955026248
Eigentümerwohnungen,28.8766779999999,317.352318799999,109.899178430427,2.32706861225519,47.226445258923
Mietwohnungen,99.3305280000009,637.685277500006,64.1983175102019,1.92009860251624,33.4349066376444
Lichtenberg,144.921464999997,973.337541799984,67.1631039473691,1.83253262724056,36.6504273642887
Eigentümerwohnungen,13.987138,148.4092206,106.104065463571,2.22643846082022,47.6564105995915
Mietwohnungen,130.934326999996,824.928321199976,63.0032123814254,1.79045340035238,35.1884122586077
Reinickendorf,119.470790000002,947.233526200014,79.2857840983557,1.99257217601055,39.7906710998538
Eigentümerwohnungen,35.044375,378.722362699999,108.069372816608,2.20096486240659,49.1009078166026
Mietwohnungen,84.4264150000012,568.511163500008,67.338067534906,1.90607091394322,35.3282068585785
Land Berlin,1751.11906299981,13102.6670391985,74.8245354416542,1.91083651003575,39.1579996764109
Eigentümerwohnungen,304.964698000009,3303.4031508001,108.320837541662,2.20878386389496,49.0409402713806
Mietwohnungen,1446.1543649999,9799.26388839932,67.7608430023995,1.84800544096826,36.6670148800517
