district_name,total,gross_rent_per_sqm_below_6_euros,gross_rent_per_sqm_between_6_and_7_euros,gross_rent_per_sqm_between_7_and_8_euros,gross_rent_per_sqm_between_8_and_9_euros,gross_rent_per_sqm_above_9_euros,gross_rent_per_sqm_average
Mitte,149.063244000003,11.98648,15.1465520000001,27.5639240000001,29.9662000000002,19.1783680000001,45.2217199999999
Friedrichshain-Kreuzberg,112.197529999998,10.075824,13.16727,21.515114,19.46466,18.205182,29.7694800000001
Pankow,157.117768000003,11.051128,16.9022429999999,32.1047679999998,31.5731729999998,25.1952719999999,40.2911839999998
Charlottenburg-Wilmersdorf,129.790584999997,7.40797800000001,10.7362,21.2576759999999,27.0552239999999,20.291467,43.04204
Spandau,87.9159449999992,6.63394900000001,11.438373,19.712744,20.497312,14.482926,15.150641
Steglitz-Zehlendorf,98.1182199999983,/,8.49842299999999,20.1062490000001,22.6051700000001,16.279306,25.7499690000001
Tempelhof-Schöneberg,128.885908000003,11.424898,15.281666,23.758503,24.7486919999999,23.1044099999999,30.5677389999999
Neukölln,119.803601000003,10.87476,18.426852,27.0554549999999,24.777623,14.982286,23.686625
Treptow-Köpenick,101.189507999999,8.86039,12.13089,24.261563,22.893241,13.828291,19.215133
Marzahn-Hellersdorf,97.3539430000008,12.874321,25.0851399999999,32.6687039999997,13.036544,6.795368,6.893866
Lichtenberg,126.799955999996,10.706046,25.947071,34.90032,23.030839,16.2197,15.99598
Reinickendorf,82.2505030000012,5.676778,8.65398700000001,20.4866069999999,16.76422,14.235709,16.433202
