type,apartments,with_1_room,with_2_rooms,with_3_rooms,with_4_rooms_or_more,total_rooms,rooms_per_apartment,rooms_per_person
Insgesamt,1751.11906299981,210.5251,596.219878,563.567521,380.80656400001,4814.7311199995,2.7495167071915,1.4389073543189
bis 1918,413.278046000008,52.3804369999998,152.355395,121.782603,86.759611,1112.58006800002,2.69208606353119,1.39254765310908
1919 – 1948,285.102711000003,22.107441,113.247085999999,82.3904499999997,67.3577339999997,816.311446000011,2.86321881379796,1.53875833214267
1949 – 1978,627.743125999999,96.0817199999999,218.613582999999,216.670821,96.3770019999995,1603.236415,2.55396889045345,1.43488329557398
1979 – 1990,224.629513000004,31.2430949999999,56.0568919999997,78.2611379999998,59.0683879999997,637.992598000011,2.8401993552824,1.42272411307945
1991 – 2000,120.284988999999,/,37.8857709999999,42.2579389999999,36.4006739999999,372.499639999997,3.09680902909672,1.43361408784098
2001 und später,79.4197699999997,/,17.95374,21.985636,34.7368359999999,270.373170999999,3.40435600606751,1.42732006698786
Zusammen,304.964698000009,/,36.695795,82.9300399999997,180.469128000003,1192.48959700004,3.91025454690497,1.77032013445157
bis 1918,52.1398190000001,/,8.76856,14.705501,27.684516,195.910941,3.75741505738637,1.76199993902148
1919 – 1948,61.2096779999998,/,6.460917,15.334239,39.3071109999999,257.669840999999,4.20962582093635,1.87862528260233
1949 – 1978,88.4872829999999,/,14.178486,30.696563,40.4803949999999,311.500647,3.52028716940037,1.81591272798686
1979 – 1990,31.352497,/,/,7.153875,22.159229,131.87267,4.20612973824701,1.90604166551339
1991 – 2000,33.3620959999999,/,/,6.611815,23.78648,135.914836,4.07392976748224,1.69981706011823
2001 und später,38.3059139999999,/,/,8.32063600000001,27.0513969999999,159.298428999999,4.15858577346569,1.52491702617762
Zusammen,1446.1543649999,205.655365,559.524083,480.637480999997,200.337436000001,3622.24152299974,2.50474058002791,1.35537511118774
bis 1918,361.138227000005,51.3991949999998,143.586835,107.077102,59.075095,916.66912700001,2.5382777520254,1.33282071005433
1919 – 1948,223.893033000001,22.00003,106.786168999999,67.056211,28.050623,558.641605000002,2.49512723783593,1.42024622291389
1949 – 1978,539.255843000002,92.9498809999999,204.435096999999,185.974258,55.896607,1291.73576800001,2.39540430533639,1.3657753338716
1979 – 1990,193.277016000002,30.8101919999999,54.4504019999997,71.1072629999997,36.9091589999999,506.119928000006,2.61862449283675,1.33455089717776
1991 – 2000,86.9228929999996,/,35.0282889999999,35.6461239999999,12.614194,236.584803999999,2.72177784050515,1.31528022880586
2001 und später,41.1138559999999,/,15.12988,13.665,7.685439,111.074742,2.70163766687318,1.30732337361091
