type,apartments,district_heating,gas,electricity,heating_oil,briquettes_lignite_coal_coke_hard_coal,wood_or_other_renewable_energies
Insgesamt,1887.0,789,614.0,332,123,/,27
bis 1918,395.0,87,202.0,84,18,/,/
1919 – 1948,304.0,98,138.0,44,20,/,/
1949 – 1978,627.0,270,137.0,157,57,/,/
1979 – 1990,262.0,182,36.0,25,17,/,/
1991 – 2000,132.0,61,54.0,/,/,/,/
2001 und später,166.0,91,47.0,/,/,/,13
Zusammen,301.0,55,145.0,47,43,/,12
bis 1918,48.0,9,26.0,/,/,/,/
1919 – 1948,62.0,/,37.0,/,9,/,/
1949 – 1978,80.0,14,20.0,26,18,/,/
1979 – 1990,25.0,/,10.0,/,8,/,/
1991 – 2000,33.0,/,25.0,/,/,/,/
2001 und später,54.0,16,26.0,/,/,/,/
Zusammen,1586.0,734,469.0,285,80,/,15
bis 1918,347.0,78,176.0,76,14,/,/
1919 – 1948,242.0,91,101.0,37,12,/,/
1949 – 1978,547.0,256,117.0,131,39,/,/
1979 – 1990,238.0,178,26.0,23,/,/,/
1991 – 2000,99.0,57,29.0,/,/,/,/
2001 und später,112.0,75,21.0,/,/,/,/
