district_id,apartments,inhabited_by_owner,inhabited_by_owner_percentage,rented_out,rented_out_percentage
01,102.374695000001,5.051228,4.93405914420547,92.9126280000008,90.7574161759408
02,74.5035880000004,0.0,0.0,70.1605000000004,94.1706324264544
03,78.8284709999996,12.057255,15.2955586313478,63.8871659999996,81.0458013323637
04,95.8891409999993,12.725187,13.2707279127676,77.4944549999993,80.8167162536162
05,82.9782520000003,16.659374,20.0767955439697,58.9361000000003,71.0259599105559
06,92.7085260000003,23.159108,24.9805589617506,63.1122060000003,68.0759458952029
07,99.1566360000005,19.083542,19.2458546092668,71.8923840000005,72.5038554151839
08,96.979824000001,13.844953,14.2761168549861,77.489694000001,79.9029022779008
09,71.2100730000003,12.081488,16.9659817649674,55.2718810000003,77.6180653543215
10,118.357000000001,13.741682,11.6103669406963,99.6837740000005,84.2229644212003
11,110.977539000002,0.0,0.0,102.948151000002,92.7648530753598
12,81.4283500000005,17.072653,20.9664729790054,59.5830730000005,73.1723938898432
