type_index,type_parent_index,type,apartments,collective_heating,district_heating,central_heating,floor_heating,single_or_more_space_ovens
0,-1,total,1711.32630199994,1673.05117699995,715.955381000005,737.175174,221.242769,38.275125
1,0,1_apartment,149.151791,143.389304,5.293303,118.624971,19.784784,5.762487
2,0,2_apartments,30.6576809999998,29.5334929999999,6.04499399999999,17.432409,6.125034,0.0
3,0,between_3_and_6_apartments,279.101293000001,274.010138000001,109.350743000001,123.743937,41.0463020000001,5.091155
4,0,between_7_and_12_apartments,1000.37267199994,976.068393999943,444.936311000003,386.175015,145.765673,24.304278
5,0,between_13_and_20_apartments,81.1273160000004,80.7358730000004,30.7116730000001,43.679362,6.344838,0.0
6,0,more_than_21_apartments,170.915549000002,169.313975000002,119.618357000001,47.5194799999999,0.0,0.0
7,0,condominiums,255.400309,249.630706,31.272387,184.844743,33.89929,5.769603
8,7,1_apartment,130.048615,125.257451,0.0,108.058931,15.17434,0.0
9,7,2_apartments,9.97808199999999,9.65251499999999,0.0,7.54164300000001,0.0,0.0
10,7,between_3_and_6_apartments,30.678889,30.444965,0.0,21.380466,0.0,0.0
11,7,between_7_and_12_apartments,67.3544760000002,66.9355280000001,18.534367,37.903668,10.641545,0.0
12,7,between_13_and_20_apartments,7.829904,7.829904,0.0,0.0,0.0,0.0
13,-1,more_than_21_apartments,9.51034299999999,9.51034299999999,0.0,5.264341,0.0,0.0
14,0,rented_apartments,1455.92599299995,1423.42047099996,684.682994000005,552.330431000001,187.343479000001,32.505522
15,14,1_apartment,19.103176,18.131853,0.0,10.56604,0.0,0.0
16,14,2_apartments,20.679599,19.880978,5.58382699999999,9.890766,0.0,0.0
17,14,between_3_and_6_apartments,248.422404000002,243.565173000002,104.671518000001,102.363471,36.6610280000001,0.0
18,14,between_7_and_12_apartments,933.018195999949,909.132865999952,426.401944000003,348.271347000001,135.124128000001,23.88533
19,14,between_13_and_20_apartments,73.2974120000002,72.9059690000002,28.7359700000001,38.983668,5.186331,0.0
20,14,more_than_21_apartments,161.405206000002,159.803632000002,116.261377000001,42.255139,0.0,0.0
