type_index,type_parent_index,type,apartments,collective_heating,district_heating,gas,electricity,heating_oil,briquettes_lignite_coal_coke_hard_coal,wood_or_other_renewable_energies
0,-1,total,1751.1190629998,1725.6141819998,755.341045,651.917786000003,21.844861,278.61889,0.0,16.029916
1,0,until_2018,413.27804600001,405.036338000009,95.4849849999998,246.894000000001,0.0,52.8393399999999,0.0,0.0
2,0,between_1919_and_1948,285.102711000003,280.152592000003,86.4495989999993,146.765931,0.0,41.8687759999999,0.0,0.0
3,0,between_1949_and_1978,627.743126000004,618.122950000005,307.153653,147.525176,10.546636,147.767292,0.0,0.0
4,0,between_1979_and_1990,224.629513000003,223.648260000003,165.692081000002,34.841859,0.0,21.146462,0.0,0.0
5,0,between_1991_and_2000,120.284988999999,119.746946999999,57.2404629999998,46.661356,0.0,13.499314,0.0,0.0
6,0,2001_and_later,79.4197699999998,78.3535979999997,43.0920199999998,29.0105299999999,0.0,0.0,0.0,0.0
7,0,area_below_40sqm,139.270882,136.515737,77.9080919999999,34.843116,0.0,21.786016,0.0,0.0
8,0,area_between_40_and_60sqm,457.844608000001,451.158236000001,226.588264000003,152.019956000001,7.702185,62.325566,0.0,0.0
9,0,area_between_60_and_80sqm,547.097501999998,539.552746999998,268.114175000002,173.847691,7.667815,86.1481850000001,0.0,0.0
10,0,area_between_80_and_100sqm,297.498612000002,293.732844000002,119.641809,120.646148,0.0,46.764692,0.0,0.0
11,0,area_between_100_and_120sqm,141.689177,139.533033,35.4680849999999,75.2002889999997,0.0,26.02452,0.0,0.0
12,0,area_above_120sqm,167.718282000001,165.121585000001,27.62062,95.3605859999996,0.0,35.5699109999999,0.0,5.921208
13,-1,condominiums,304.96469800001,298.155701000009,54.6543619999999,159.960898000001,0.0,75.4131699999998,0.0,6.943263
14,13,until_2018,52.139819,51.708657,12.421321,30.92433,0.0,7.049233,0.0,0.0
15,13,between_1919_and_1948,61.2096779999998,58.4102809999998,5.440249,37.3656419999999,0.0,14.755724,0.0,0.0
16,13,between_1949_and_1978,88.4872829999999,86.5075569999999,13.442256,30.8313679999999,0.0,40.8607219999999,0.0,0.0
17,13,between_1979_and_1990,31.3524969999999,31.1387669999999,6.859737,15.058335,0.0,8.68103,0.0,0.0
18,13,between_1991_and_2000,33.362096,33.043286,0.0,24.730454,0.0,0.0,0.0,0.0
19,13,2001_and_later,38.3059139999999,37.3471529999999,12.335306,21.050769,0.0,0.0,0.0,0.0
20,13,area_below_40sqm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,13,area_between_40_and_60sqm,17.836722,16.644074,5.19097,6.75104,0.0,0.0,0.0,0.0
22,13,area_between_60_and_80sqm,50.87354,49.01,16.646541,18.16153,0.0,13.342034,0.0,0.0
23,13,area_between_80_and_100sqm,65.6156149999998,64.9711489999998,11.579443,35.729503,0.0,16.092681,0.0,0.0
24,13,area_between_100_and_120sqm,55.1996239999999,54.0283719999999,6.466677,33.1868809999999,0.0,13.940243,0.0,0.0
25,13,area_above_120sqm,111.851914999999,110.021142999999,14.010811,64.8208129999997,0.0,25.926236,0.0,0.0
26,-1,rented_apartments,1446.15436499989,1427.4584809999,700.686682999997,491.956888000006,20.770497,203.205719999997,0.0,9.08665300000001
27,26,until_2018,361.138227000007,353.327681000006,83.0636639999997,215.969670000001,0.0,45.7901069999999,0.0,0.0
28,26,between_1919_and_1948,223.893033,221.742311,81.0093499999996,109.400289,0.0,27.1130519999999,0.0,0.0
29,26,between_1949_and_1978,539.255843000002,531.615393000001,293.711397000001,116.693808,10.326971,106.90657,0.0,0.0
30,26,between_1979_and_1990,193.277016000002,192.509493000002,158.832344000002,19.783524,0.0,12.465432,0.0,0.0
31,26,between_1991_and_2000,86.9228929999998,86.7036609999998,53.0849699999998,21.930902,0.0,10.183442,0.0,0.0
32,26,2001_and_later,41.1138559999998,41.0064449999998,30.756714,7.95976100000001,0.0,0.0,0.0,0.0
33,26,area_below_40sqm,135.6836,133.034774,77.1481719999999,33.531985,0.0,20.376104,0.0,0.0
34,26,area_between_40_and_60sqm,440.007886,434.514162000001,221.397294000003,145.268916000001,7.702185,57.6235019999999,0.0,0.0
35,26,area_between_60_and_80sqm,496.223961999995,490.542746999995,251.467634000003,155.686161,7.450383,72.806151,0.0,0.0
36,26,area_between_80_and_100sqm,231.882997,228.761695,108.062366,84.916645,0.0,30.672011,0.0,0.0
37,26,area_between_100_and_120sqm,86.4895529999999,85.5046609999999,29.001408,42.0134079999999,0.0,12.084277,0.0,0.0
38,26,area_above_120sqm,55.8663669999999,55.1004419999999,13.609809,30.539773,0.0,9.643675,0.0,0.0
