type_index,type_parent_index,type,apartments,below_6_euros,between_6_and_7_euros,between_7_and_8_euros,between_8_and_9_euros,between_9_and_10_euros,more_than_10_euros,average
0,-1,total,1390.48671099991,112.451655,181.414667000001,305.391627000001,276.412898000001,202.798285,312.017579000003,8.71192665891997
1,0,1_apartment,15.5745950000001,0.0,0.0,0.0,0.0,0.0,5.477961,8.51118190415347
2,0,2_apartments,10.502788,0.0,0.0,0.0,0.0,0.0,0.0,7.60792346451199
3,0,between_3_and_6_apartments,116.301517,9.46746200000001,12.983823,22.939313,24.30326,17.064396,29.543263,8.82826811191371
4,0,between_7_and_9_apartments,260.172416000002,20.262242,35.332755,60.2243839999999,57.8978559999998,39.8922309999999,46.5629479999999,8.42498805525438
5,0,between_10_and_20_apartments,628.515570000002,52.9547979999998,79.7607759999997,128.945367,124.645183,93.7371169999999,148.472329,8.72034170714676
6,0,more_than_21_apartments,359.419824999998,22.676729,51.7466859999999,90.2189889999998,66.3921909999999,49.12784,79.25739,8.90823041931878
7,0,private_individuals,351.254553000005,35.410664,35.347679,53.7423819999999,59.606246,52.700118,114.447464,9.18406652128897
8,0,private_company,511.479390000002,32.541485,52.3656969999999,102.313995,106.32863,85.576611,132.352972,9.05061375224948
9,0,public_institution,127.782427,9.23556800000001,24.368519,40.1736189999999,26.583269,13.797913,13.623539,8.00136227648083
10,0,housing_building_cooperative,399.970340999996,35.2639379999999,69.3327719999998,109.161631,83.8947529999998,50.7236429999999,51.5936039999999,8.091192875864
11,0,area_below_40sqm,134.263281,0.0,5.209192,12.842844,25.204238,26.291945,60.3393439999999,10.6300704869759
12,0,area_between_40_and_60sqm,431.758832,20.331583,46.2296329999999,104.083321,97.2466009999996,70.369418,93.4982759999997,8.82490039602552
13,-1,area_between_60_and_80sqm,476.580533999996,42.8806049999999,80.5669089999996,125.353442,89.7595359999998,59.6377009999999,78.3823409999998,8.26227346535101
14,13,area_between_80_and_100sqm,218.287825,23.31474,33.2937699999999,44.8363769999999,43.0472599999999,30.7424249999999,43.0532529999999,8.40830579393507
15,13,area_between_100_and_120sqm,78.8735499999998,12.083908,10.984257,12.070901,14.351892,9.200642,20.18195,8.3834419214793
16,13,area_above_120sqm,50.7226889999999,9.465101,5.130906,6.204742,6.803371,6.556154,16.562415,8.71523409687453
17,13,build_before_1949,548.674894000007,60.9610249999999,71.6393259999999,104.016934,100.972961,78.2064649999999,132.878183,8.67328295042079
18,13,area_below_40sqm,38.0894879999999,0.0,0.0,0.0,5.57943,5.823125,19.841972,10.7266927436242
19,13,area_between_40_and_60sqm,178.431351000001,10.936594,20.642278,35.687082,37.331137,30.830859,43.0034009999999,8.87203873259194
20,-1,area_between_60_and_80sqm,161.260676,19.069075,23.566109,33.326211,31.904101,22.478649,30.916531,8.43012108240817
21,20,area_between_80_and_100sqm,87.3724029999997,13.466021,13.796076,18.654853,13.402454,9.775321,18.277678,8.2660542293462
22,20,area_between_100_and_120sqm,47.7158579999999,9.213348,7.814123,8.264386,7.472824,0.0,10.499885,7.97196536343668
23,20,area_above_120sqm,35.805118,6.408139,0.0,0.0,5.283015,0.0,10.338716,8.52189060277707
24,20,build_after_1949,841.258320000001,51.3832189999999,109.660843,201.263170000001,175.439937,124.478074,179.033077,8.73778112115861
25,20,area_below_40sqm,96.0592950000001,0.0,0.0,9.757513,19.624808,20.46882,40.497372,10.5965614207839
26,20,area_between_40_and_60sqm,253.213735000002,9.394989,25.5873549999999,68.3962389999998,59.9154639999999,39.424813,50.4948749999999,8.7913852981476
27,-1,area_between_60_and_80sqm,315.100924,23.704119,57.0007999999998,91.9157079999999,57.8554349999998,37.159052,47.4658099999999,8.17820603916428
28,-1,area_between_80_and_100sqm,130.915422,9.848719,19.497694,26.181524,29.644806,20.967104,24.775575,8.50324389090459
29,-1,area_between_100_and_120sqm,31.157692,0.0,0.0,0.0,6.879068,0.0,9.682065,9.01358991234752
30,-1,area_above_120sqm,14.811252,0.0,0.0,0.0,0.0,0.0,6.11738,9.16361693041841
